criterion,role,topic,examples
"Provides regular status updates to their squad and discipline","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","communication 1",""
"Points out syntactical improvements in code reviews","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","communication 1",""
"Writes PR descriptions that provide basic context for the change","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","communication 1",""
"Seeks guidance from other guild members, rather than answers","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","communication 1",""
"Proactively communicates to their team what they are working on, why, how it's going and what help they need","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","communication 2",""
"Accepts feedback graciously","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering, 🌐 Web engineering, 🔌 TechOps engineering","communication 2, communication 1",""
"Gives feedback to peers when asked","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering, 🌐 Web engineering, 🔌 TechOps engineering","communication 2",""
"Provides helpful and actionable feedback in code reviews in an empathetic manner","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","communication 2","Take a look at the levelling up your code reviews talk for some ideas"
"Writes PR descriptions that provide context and provide rationale for significant decisions","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","communication 2","I decided to X instead of Y here, I also considered Z but for these reasons I went with X"
"Transparent about mistakes they've made, early","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering, 🌐 Web engineering, 🔌 TechOps engineering","communication 3",""
"Proactively gives timely actionable feedback to peers","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering, 🌐 Web engineering, 🔌 TechOps engineering","communication 3",""
"Proactively seeks feedback from the people around them","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering, 🌐 Web engineering, 🔌 TechOps engineering","communication 3",""
"Considers the opinions of others before defending their own","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering, 🌐 Web engineering, 🔌 TechOps engineering","communication 3",""
"Proactively gives feedback 'upwards' and to people they interact with who are not in their team","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","communication 4",""
"Transparent in making design and technical decisions","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","communication 4",""
"Helps people in non-technical roles understand technical constraints / trade-offs","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","communication 4",""
"Shares technical context and direction for less experienced guild members","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","communication 4",""
"Gives direct and constructive feedback to other guild members","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","communication 4",""
"Helps other people develop themselves and regularly gives insightful, useful feedback to those around them","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","communication 5",""
"Talks to non-technical stakeholders on appropriate level of abstraction","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","communication 5",""
"Transparent about feedback they have received and what they are going to do differently","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","communication 6",""
"Delivers assigned tasks, working with a more senior team member, and able to take PR feedback to improve their work","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","impact 1",""
"Delivers assigned tasks that meet expected criteria","🛠️ Backend engineering, 📊 Data engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering, 🌐 Web engineering, 🔌 TechOps engineering","impact 2, mastery 1",""
"Works for the team, focuses on tasks that contribute to team goals","🛠️ Backend engineering, 📊 Data engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","impact 2, mastery 1",""
"Tries to unblock themselves first before seeking help","🛠️ Backend engineering, 📊 Data engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering, 🌐 Web engineering, 🔌 TechOps engineering","impact 2, mastery 1",""
"Manages their own time effectively, prioritises their workload well, on time for meetings, aware when blocking others and unblocks","🛠️ Backend engineering, 📊 Data engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🕵🏽‍♂️ Quality engineering, 🌐 Web engineering","impact 2, mastery 2","; able to focus on assigned tasks despite distractions from people, emails, slacks etc. Able to create a 'focus environment' for themselves; exhibits self-awareness around personal productivity (able to spot and debug personal productivity issues or to seek help/advice)"
"Helps the team, does what needs doing","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering","impact 2",""
"Breaks down small/medium problems into iterative steps","🛠️ Backend engineering, 📊 Data engineering, 👩‍💻 Mobile engineering, 🌐 Web engineering, 🔌 TechOps engineering","impact 2",""
